Pre-attentive Processing,1,1,1,1,Medium,Size,0
Pre-attentive Processing,1,2,1,2,Medium,Color,0
Pre-attentive Processing,1,3,1,3,Medium,Color_Size,0
Pre-attentive Processing,1,4,1,4,Medium,Size,0
Pre-attentive Processing,1,5,1,5,Medium,Color,0
Pre-attentive Processing,1,6,1,6,Medium,Color_Size,0
Pre-attentive Processing,1,7,1,7,Medium,Size,0
Pre-attentive Processing,1,8,1,8,Medium,Color,0
Pre-attentive Processing,1,9,1,9,Medium,Color_Size,0
Pre-attentive Processing,1,10,1,10,Medium,Size,0
Pre-attentive Processing,1,11,1,11,Medium,Color,0
Pre-attentive Processing,1,12,1,12,Medium,Color_Size,0
Pre-attentive Processing,1,13,1,13,Medium,Size,0
Pre-attentive Processing,1,14,1,14,Medium,Color,0
Pre-attentive Processing,1,15,1,15,Medium,Color_Size,0
Pre-attentive Processing,1,16,2,1,Low,Size,0
Pre-attentive Processing,1,17,2,2,Low,Color,0
Pre-attentive Processing,1,18,2,3,Low,Color_Size,0
Pre-attentive Processing,1,19,2,4,Low,Size,0
Pre-attentive Processing,1,20,2,5,Low,Color,0
Pre-attentive Processing,1,21,2,6,Low,Color_Size,0
Pre-attentive Processing,1,22,2,7,Low,Size,0
Pre-attentive Processing,1,23,2,8,Low,Color,0
Pre-attentive Processing,1,24,2,9,Low,Color_Size,0
Pre-attentive Processing,1,25,2,10,Low,Size,0
Pre-attentive Processing,1,26,2,11,Low,Color,0
Pre-attentive Processing,1,27,2,12,Low,Color_Size,0
Pre-attentive Processing,1,28,2,13,Low,Size,0
Pre-attentive Processing,1,29,2,14,Low,Color,0
Pre-attentive Processing,1,30,2,15,Low,Color_Size,0
Pre-attentive Processing,1,31,3,1,High,Size,0
Pre-attentive Processing,1,32,3,2,High,Color,0
Pre-attentive Processing,1,33,3,3,High,Color_Size,0
Pre-attentive Processing,1,34,3,4,High,Size,0
Pre-attentive Processing,1,35,3,5,High,Color,0
Pre-attentive Processing,1,36,3,6,High,Color_Size,0
Pre-attentive Processing,1,37,3,7,High,Size,0
Pre-attentive Processing,1,38,3,8,High,Color,0
Pre-attentive Processing,1,39,3,9,High,Color_Size,0
Pre-attentive Processing,1,40,3,10,High,Size,0
Pre-attentive Processing,1,41,3,11,High,Color,0
Pre-attentive Processing,1,42,3,12,High,Color_Size,0
Pre-attentive Processing,1,43,3,13,High,Size,0
Pre-attentive Processing,1,44,3,14,High,Color,0
Pre-attentive Processing,1,45,3,15,High,Color_Size,0
Pre-attentive Processing,2,46,1,1,High,Color_Size,0
Pre-attentive Processing,2,47,1,2,High,Size,0
Pre-attentive Processing,2,48,1,3,High,Color,0
Pre-attentive Processing,2,49,1,4,High,Color_Size,0
Pre-attentive Processing,2,50,1,5,High,Size,0
Pre-attentive Processing,2,51,1,6,High,Color,0
Pre-attentive Processing,2,52,1,7,High,Color_Size,0
Pre-attentive Processing,2,53,1,8,High,Size,0
Pre-attentive Processing,2,54,1,9,High,Color,0
Pre-attentive Processing,2,55,1,10,High,Color_Size,0
Pre-attentive Processing,2,56,1,11,High,Size,0
Pre-attentive Processing,2,57,1,12,High,Color,0
Pre-attentive Processing,2,58,1,13,High,Color_Size,0
Pre-attentive Processing,2,59,1,14,High,Size,0
Pre-attentive Processing,2,60,1,15,High,Color,0
Pre-attentive Processing,2,61,2,1,Medium,Color_Size,0
Pre-attentive Processing,2,62,2,2,Medium,Size,0
Pre-attentive Processing,2,63,2,3,Medium,Color,0
Pre-attentive Processing,2,64,2,4,Medium,Color_Size,0
Pre-attentive Processing,2,65,2,5,Medium,Size,0
Pre-attentive Processing,2,66,2,6,Medium,Color,0
Pre-attentive Processing,2,67,2,7,Medium,Color_Size,0
Pre-attentive Processing,2,68,2,8,Medium,Size,0
Pre-attentive Processing,2,69,2,9,Medium,Color,0
Pre-attentive Processing,2,70,2,10,Medium,Color_Size,0
Pre-attentive Processing,2,71,2,11,Medium,Size,0
Pre-attentive Processing,2,72,2,12,Medium,Color,0
Pre-attentive Processing,2,73,2,13,Medium,Color_Size,0
Pre-attentive Processing,2,74,2,14,Medium,Size,0
Pre-attentive Processing,2,75,2,15,Medium,Color,0
Pre-attentive Processing,2,76,3,1,Low,Color_Size,0
Pre-attentive Processing,2,77,3,2,Low,Size,0
Pre-attentive Processing,2,78,3,3,Low,Color,0
Pre-attentive Processing,2,79,3,4,Low,Color_Size,0
Pre-attentive Processing,2,80,3,5,Low,Size,0
Pre-attentive Processing,2,81,3,6,Low,Color,0
Pre-attentive Processing,2,82,3,7,Low,Color_Size,0
Pre-attentive Processing,2,83,3,8,Low,Size,0
Pre-attentive Processing,2,84,3,9,Low,Color,0
Pre-attentive Processing,2,85,3,10,Low,Color_Size,0
Pre-attentive Processing,2,86,3,11,Low,Size,0
Pre-attentive Processing,2,87,3,12,Low,Color,0
Pre-attentive Processing,2,88,3,13,Low,Color_Size,0
Pre-attentive Processing,2,89,3,14,Low,Size,0
Pre-attentive Processing,2,90,3,15,Low,Color,0
Pre-attentive Processing,3,91,1,1,Low,Color,0
Pre-attentive Processing,3,92,1,2,Low,Color_Size,0
Pre-attentive Processing,3,93,1,3,Low,Size,0
Pre-attentive Processing,3,94,1,4,Low,Color,0
Pre-attentive Processing,3,95,1,5,Low,Color_Size,0
Pre-attentive Processing,3,96,1,6,Low,Size,0
Pre-attentive Processing,3,97,1,7,Low,Color,0
Pre-attentive Processing,3,98,1,8,Low,Color_Size,0
Pre-attentive Processing,3,99,1,9,Low,Size,0
Pre-attentive Processing,3,100,1,10,Low,Color,0
Pre-attentive Processing,3,101,1,11,Low,Color_Size,0
Pre-attentive Processing,3,102,1,12,Low,Size,0
Pre-attentive Processing,3,103,1,13,Low,Color,0
Pre-attentive Processing,3,104,1,14,Low,Color_Size,0
Pre-attentive Processing,3,105,1,15,Low,Size,0
Pre-attentive Processing,3,106,2,1,High,Color,0
Pre-attentive Processing,3,107,2,2,High,Color_Size,0
Pre-attentive Processing,3,108,2,3,High,Size,0
Pre-attentive Processing,3,109,2,4,High,Color,0
Pre-attentive Processing,3,110,2,5,High,Color_Size,0
Pre-attentive Processing,3,111,2,6,High,Size,0
Pre-attentive Processing,3,112,2,7,High,Color,0
Pre-attentive Processing,3,113,2,8,High,Color_Size,0
Pre-attentive Processing,3,114,2,9,High,Size,0
Pre-attentive Processing,3,115,2,10,High,Color,0
Pre-attentive Processing,3,116,2,11,High,Color_Size,0
Pre-attentive Processing,3,117,2,12,High,Size,0
Pre-attentive Processing,3,118,2,13,High,Color,0
Pre-attentive Processing,3,119,2,14,High,Color_Size,0
Pre-attentive Processing,3,120,2,15,High,Size,0
Pre-attentive Processing,3,121,3,1,Medium,Color,0
Pre-attentive Processing,3,122,3,2,Medium,Color_Size,0
Pre-attentive Processing,3,123,3,3,Medium,Size,0
Pre-attentive Processing,3,124,3,4,Medium,Color,0
Pre-attentive Processing,3,125,3,5,Medium,Color_Size,0
Pre-attentive Processing,3,126,3,6,Medium,Size,0
Pre-attentive Processing,3,127,3,7,Medium,Color,0
Pre-attentive Processing,3,128,3,8,Medium,Color_Size,0
Pre-attentive Processing,3,129,3,9,Medium,Size,0
Pre-attentive Processing,3,130,3,10,Medium,Color,0
Pre-attentive Processing,3,131,3,11,Medium,Color_Size,0
Pre-attentive Processing,3,132,3,12,Medium,Size,0
Pre-attentive Processing,3,133,3,13,Medium,Color,0
Pre-attentive Processing,3,134,3,14,Medium,Color_Size,0
Pre-attentive Processing,3,135,3,15,Medium,Size,0
Pre-attentive Processing,4,136,1,1,Medium,Size,0,660
Pre-attentive Processing,4,137,1,2,Medium,Color,0,651
Pre-attentive Processing,4,138,1,3,Medium,Color_Size,0,2208
Pre-attentive Processing,4,139,1,4,Medium,Size,0,567
Pre-attentive Processing,4,140,1,5,Medium,Color,0,740
Pre-attentive Processing,4,141,1,6,Medium,Color_Size,0,1237
Pre-attentive Processing,4,142,1,7,Medium,Size,0,631
Pre-attentive Processing,4,143,1,8,Medium,Color,0,522
Pre-attentive Processing,4,144,1,9,Medium,Color_Size,0,1048
Pre-attentive Processing,4,145,1,10,Medium,Size,0,756
Pre-attentive Processing,4,146,1,11,Medium,Color,0,574
Pre-attentive Processing,4,147,1,12,Medium,Color_Size,0,1055
Pre-attentive Processing,4,148,1,13,Medium,Size,0,691
Pre-attentive Processing,4,149,1,14,Medium,Color,0,533
Pre-attentive Processing,4,150,1,15,Medium,Color_Size,0,801
Pre-attentive Processing,4,151,2,1,Low,Size,0,775
Pre-attentive Processing,4,152,2,2,Low,Color,0,526
Pre-attentive Processing,4,153,2,3,Low,Color_Size,0,867
Pre-attentive Processing,4,154,2,4,Low,Size,0,639
Pre-attentive Processing,4,155,2,5,Low,Color,0,522
Pre-attentive Processing,4,156,2,6,Low,Color_Size,0,3383
Pre-attentive Processing,4,157,2,7,Low,Size,0,770
Pre-attentive Processing,4,158,2,8,Low,Color,0,574
Pre-attentive Processing,4,159,2,9,Low,Color_Size,0,2164
Pre-attentive Processing,4,160,2,10,Low,Size,0,571
Pre-attentive Processing,4,161,2,11,Low,Color,0,480
Pre-attentive Processing,4,162,2,12,Low,Color_Size,0,3274
Pre-attentive Processing,4,163,2,13,Low,Size,0,554
Pre-attentive Processing,4,164,2,14,Low,Color,0,522
Pre-attentive Processing,4,165,2,15,Low,Color_Size,0,1464
Pre-attentive Processing,4,166,3,1,High,Size,0,608
Pre-attentive Processing,4,167,3,2,High,Color,0,621
Pre-attentive Processing,4,168,3,3,High,Color_Size,0,1067
Pre-attentive Processing,4,169,3,4,High,Size,0,499
Pre-attentive Processing,4,170,3,5,High,Color,0,355
Pre-attentive Processing,4,171,3,6,High,Color_Size,0,1242
Pre-attentive Processing,4,172,3,7,High,Size,0,576
Pre-attentive Processing,4,173,3,8,High,Color,0,484
Pre-attentive Processing,4,174,3,9,High,Color_Size,0,2637
Pre-attentive Processing,4,175,3,10,High,Size,0,591
Pre-attentive Processing,4,176,3,11,High,Color,0,482
Pre-attentive Processing,4,177,3,12,High,Color_Size,0,856
Pre-attentive Processing,4,178,3,13,High,Size,0,498
Pre-attentive Processing,4,179,3,14,High,Color,0,506
Pre-attentive Processing,4,180,3,15,High,Color_Size,1,862
Pre-attentive Processing,5,181,1,1,High,Color_Size,0
Pre-attentive Processing,5,182,1,2,High,Size,0
Pre-attentive Processing,5,183,1,3,High,Color,0
Pre-attentive Processing,5,184,1,4,High,Color_Size,0
Pre-attentive Processing,5,185,1,5,High,Size,0
Pre-attentive Processing,5,186,1,6,High,Color,0
Pre-attentive Processing,5,187,1,7,High,Color_Size,0
Pre-attentive Processing,5,188,1,8,High,Size,0
Pre-attentive Processing,5,189,1,9,High,Color,0
Pre-attentive Processing,5,190,1,10,High,Color_Size,0
Pre-attentive Processing,5,191,1,11,High,Size,0
Pre-attentive Processing,5,192,1,12,High,Color,0
Pre-attentive Processing,5,193,1,13,High,Color_Size,0
Pre-attentive Processing,5,194,1,14,High,Size,0
Pre-attentive Processing,5,195,1,15,High,Color,0
Pre-attentive Processing,5,196,2,1,Medium,Color_Size,0
Pre-attentive Processing,5,197,2,2,Medium,Size,0
Pre-attentive Processing,5,198,2,3,Medium,Color,0
Pre-attentive Processing,5,199,2,4,Medium,Color_Size,0
Pre-attentive Processing,5,200,2,5,Medium,Size,0
Pre-attentive Processing,5,201,2,6,Medium,Color,0
Pre-attentive Processing,5,202,2,7,Medium,Color_Size,0
Pre-attentive Processing,5,203,2,8,Medium,Size,0
Pre-attentive Processing,5,204,2,9,Medium,Color,0
Pre-attentive Processing,5,205,2,10,Medium,Color_Size,0
Pre-attentive Processing,5,206,2,11,Medium,Size,0
Pre-attentive Processing,5,207,2,12,Medium,Color,0
Pre-attentive Processing,5,208,2,13,Medium,Color_Size,0
Pre-attentive Processing,5,209,2,14,Medium,Size,0
Pre-attentive Processing,5,210,2,15,Medium,Color,0
Pre-attentive Processing,5,211,3,1,Low,Color_Size,0
Pre-attentive Processing,5,212,3,2,Low,Size,0
Pre-attentive Processing,5,213,3,3,Low,Color,0
Pre-attentive Processing,5,214,3,4,Low,Color_Size,0
Pre-attentive Processing,5,215,3,5,Low,Size,0
Pre-attentive Processing,5,216,3,6,Low,Color,0
Pre-attentive Processing,5,217,3,7,Low,Color_Size,0
Pre-attentive Processing,5,218,3,8,Low,Size,0
Pre-attentive Processing,5,219,3,9,Low,Color,0
Pre-attentive Processing,5,220,3,10,Low,Color_Size,0
Pre-attentive Processing,5,221,3,11,Low,Size,0
Pre-attentive Processing,5,222,3,12,Low,Color,0
Pre-attentive Processing,5,223,3,13,Low,Color_Size,0
Pre-attentive Processing,5,224,3,14,Low,Size,0
Pre-attentive Processing,5,225,3,15,Low,Color,0
Pre-attentive Processing,6,226,1,1,Low,Color,0
Pre-attentive Processing,6,227,1,2,Low,Color_Size,0
Pre-attentive Processing,6,228,1,3,Low,Size,0
Pre-attentive Processing,6,229,1,4,Low,Color,0
Pre-attentive Processing,6,230,1,5,Low,Color_Size,0
Pre-attentive Processing,6,231,1,6,Low,Size,0
Pre-attentive Processing,6,232,1,7,Low,Color,0
Pre-attentive Processing,6,233,1,8,Low,Color_Size,0
Pre-attentive Processing,6,234,1,9,Low,Size,0
Pre-attentive Processing,6,235,1,10,Low,Color,0
Pre-attentive Processing,6,236,1,11,Low,Color_Size,0
Pre-attentive Processing,6,237,1,12,Low,Size,0
Pre-attentive Processing,6,238,1,13,Low,Color,0
Pre-attentive Processing,6,239,1,14,Low,Color_Size,0
Pre-attentive Processing,6,240,1,15,Low,Size,0
Pre-attentive Processing,6,241,2,1,High,Color,0
Pre-attentive Processing,6,242,2,2,High,Color_Size,0
Pre-attentive Processing,6,243,2,3,High,Size,0
Pre-attentive Processing,6,244,2,4,High,Color,0
Pre-attentive Processing,6,245,2,5,High,Color_Size,0
Pre-attentive Processing,6,246,2,6,High,Size,0
Pre-attentive Processing,6,247,2,7,High,Color,0
